Sektor,Unit,Tugas,Peruntukan,Nama Program,"Bilangan
Peserta",Tarikh Mula,Tarikh Tamat,Nama Pegawai Bertanggungjawab,Gred Pegawai,Status Pelaksanaan,JUSTIFIKASI BELUM BERMULA/DIPINDA/DIBATALKAN,0S21000 (a1),OS24000 (a2),OS27000 (a3),OS29000 (a4),JUMLAH ANGGARAN PERBELANJAAN (a1+a2+a3+a4),0S21000 (b1),OS24000 (b2),OS27000 (b3),OS29000 (b4),JUMLAH KOMITMEN (b1+b2+b3+b4),eventCalendar,__PowerAppsId__
SDP,,Acara/Majlis,DSA(JN),Perhimpunan Bulanan JN,165,24/02/2025,24/02/2025,Puan Suraya Sari binti Abd. Aziz,DG12,Selesai,,0,0,0,1750,1750,0,0,0,0,0,,
SDP,,Mesyuarat,DSA(JN),Mesyuarat Rumusan Laporan Tinjauan Sekolah Vertikal Tahun 2025,20,04/06/2025,06/06/2025,Encik Nadimin bin Abdul Aziz,DG13,Selesai,Peruntukan daripada Program PEMANDU,2000,0,0,1750,3750,2000,0,0,0,2000,,
SDP,,Mesyuarat,DSA(JN),Mesyuarat Semakan Perancangan Strategik JN,5,10/02/2025,10/02/0205,Puan Faridahanum binti Ahmad,DG12,Selesai,,0,0,0,1750,1750,0,0,0,0,0,,
SDP,,Mesyuarat,DSA(JN),Mesyuarat Penyelarasan Sesi Libat Urus Pelan Strategik Jemaah Nazir 2026-2030 bersama Bahagian KPM,63,30/04/2025,30/04/2025,Pn. Azidah binti Abdul Aziz,DG13,Selesai,Peruntukan Bengkel Kerja Perancangan Strategik JN,18250,0,0,16350,34600,6572.56,0,0,1890,8462.56,,
SDP,,Bengkel Kerja,DSA(JN),Bengkel Kerja Penulisan Pelan Strategik Jemaah Nazir Tahun 2026-2030 Siri 1/2025,20,17/06/2025,19/06/2025,Pn. Azidah binti Abdul Aziz,DG13,Belum bermula,Peruntukan Bengkel Kerja Perancangan Strategik JN (OS21000) dan Lain-lain (OS29000),11677.44,0,0,9880,21557.44,1949.8,0,0,1940,3889.8,,
SDP,,Tinjauan,DSA(JN),"Tinjauan Pelaksanaan Pendidikan STEM Sekolah Menengah di Kuching, Sarawak ",51,16/06/2025,26/06/2025,Pn. Azidah binti Abdul Aziz,DG13,Belum bermula,Peruntukan MPKNS ,11196.38,0,0,0,11196.38,722.5,0,0,0,722.5,,
SDP,,Bengkel Kerja,DSA(JN),"Bengkel Kerja Penyediaan Rumusan Tinjauan Pelaksanaan Pendidikan STEM Sekolah Menengah di Kuching, Sarawak",15,27/06/2025,27/06/2025,Pn. Azidah binti Abdul Aziz,DG13,Belum bermula,Peruntukan Lain-Lain,0,0,0,7940,7940,0,0,0,225,225,,
SDP,,Mesyuarat,DSA(JN),Mesyuarat Pengurusan Ketua Nazir Sekolah Bil 3,37,12/08/2025,14/08/2025,Pn. Azidah binti Abdul Aziz,DG13,Dalam tindakan,Peruntukan MPKNS ,"RM16,639.50",0,0,"RM19,160","RM19,160",,,,,0,,
SDP,,Pemeriksaan,DSA(JN),"Audit Keselamatan Asrama, Keberadaan Guru dan PLC Tahun 2025",300,02/09/2025,30/11/2025,Tuan Haji Nadimin bin Abdul Aziz,DG13,Dalam tindakan,,,,,"RM360,00.00",,,,,,0,,
SDP,,Bengkel Kerja,DSA(JN),BENGKEL KERJA ANALISIS DATA GCPC (PERUNTUKAN BENGKEL KERJA PENYEDIAAN TAKWIM),5,10/09/2025,12/09/2025,Cik Siti Azeana / Puan Fazleena,DG12,Dalam tindakan,,4749,,,,,,,,,0,,
SDP,,Bengkel,DSA(JN),BENGKEL KERJA PENULISAN PELAN STRATEGIK JEMAAH NAZIR 2026-2030 SIRI 2 TAHUN 2025,20,23/09/2025,25/09/2025,Pn. Azidah binti Abdul Aziz,DG13,Dalam tindakan,Peruntukan MPKNS ,"RM7,781.81",,,,,,,,,0,,
SDP,,Mesyuarat,DSA(JN),MESYUARAT PENGURUSAN KETUA NAZIR SEKOLAH BILANGAN 4 TAHUN 2025,39,27/10/2025,29/10/2025,Pn. Azidah binti Abdul Aziz,DG13,Dalam tindakan,Peruntukan MPKNS ,"RM42,000.00",,,"RM30,000.00","RM72,000.00",,,,,0,,
SDP,,Acara/Majlis,DSA(JN),Majlis NYALA: Kisah Reformasi Pendidikan,34,12/11/2025,12/11/2025,Pn. Azidah binti Abdul Aziz,DG13,Dalam tindakan,Peruntukan AKIPM Tahun 2025,"RM30,000.00",,,,,,,,,0,,
SDP,,Bengkel Kerja,DSA(JN),BENGKEL KERJA ANALISIS DATA GCPC (PERUNTUKAN BENGKEL KERJA PENYEDIAAN TAKWIM),5,10/09/2025,12/09/2025,Cik Siti Azeana / Puan Fazleena,DG12,Dalam tindakan,,4749,,,,,,,,,0,,
SDP,,Mesyuarat,DSA(JN),Mesyuarat Pengurusan Ketua Nazir Sekolah Bil 1/2026,39,03/02/2026,05/02/2026,Cik Noradlina binti Mohd,DG12,Selesai,,,,,,,28086.5,,,19106.4,47192.9,,
SDP,,Mesyuarat,DSA(JN),MESYUARAT PENGURUSAN KETUA NAZIR SEKOLAH BILANGAN 4 TAHUN 2025,39,27/10/2025,29/10/2025,Pn. Azidah binti Abdul Aziz,DG13,Dalam tindakan,Peruntukan MPKNS ,"RM42,000.00",,,"RM30,000.00","RM72,000.00",,,,,0,,
SDP,,Acara/Majlis,DSA(JN),Majlis NYALA: Kisah Reformasi Pendidikan,34,12/11/2025,12/11/2025,Pn. Azidah binti Abdul Aziz,DG13,Dalam tindakan,Peruntukan AKIPM Tahun 2025,"RM30,000.00",,,,,,,,,0,,
SDP,,Mesyuarat,DSA(JN),Mesyuarat Pengurusan Ketua Nazir Sekolah Bil 1/2026,39,03/02/2026,05/02/2026,Cik Noradlina binti Mohd,DG12,Selesai,,,,,,,28086.5,,,19106.4,47192.9,,
SDP,,Bengkel,DSA(JN),Bengkel Kerja Pengurusan Pra Persidangan Dewan Negara bagi Mesyuarat Pertama Penggal Kelima Parlimen Kelima belas Tahun 2026 Peringkat KPM,1,10/02/2026,12/02/2026,En. Amri bin Azmi,DG12,,,,,,,,,,,,,,
SPK,Unit Bahasa dan Kesusasteraan,Bengkel,MBMMBI (IPGM),BENGKEL KERJA PEMURNIANBAHAN PEMERIKSAAN DASAR MEMARTABATKAN BAHASA MELAYU MEMPERKUKUH BAHASA INGGERIS (MBMMBI) TAHUN 2026,8,05/11/2025,07/11/2025,CIK SHARMILA A/P SATHASIVAM,DG10,Selesai,SELESAI,5632.02,0,0,0,5632.02,5632.02,0,0,0,5632.02,,
SPK,Unit Teknik Vokasional,Bengkel Kerja,DSA(JN),KURSUS INDUKSI PENTAULIAHAN PERSIJILAN KEMAHIRAN MALAYSIA,22,01/11/2025,02/11/2025,"WAN ,EZANIE BINTI WAN ZAINAL ABIDIN",DG12,Selesai,SELESAI,8238.7,0,0,0,8238.7,8238.7,0,0,0,8238.7,,
SPK,Unit Bahasa dan Kesusasteraan,Bengkel,MBMMBI (IPGM),BENGKEL KERJA PENULISAN  RUMUSAN LAPORAN TINJAUAN PELAKSANAAN PROGRAM SEKOLAH PENGAJAR (TPPSP) TAHUN 2026,20,16/03/2026,18/03/2026,SHARIDAH BINTI MAARUS,DG12,Belum bermula,Akan dilaksnakan pada 16-18 Mac 2026,8334.2,0,0,6900,15324.2,8334.2,0,0,6900,15324.2,,
SPK,Unit Sains dan Matematik,Bengkel,DSA(JN),BENGKEL KERJA ANALISIS DATA DAN PENULISAN RUMUSAN LAPORAN P-SBP2026,30,23/02/2026,26/02/2026,MOHD FAROL BIN MOHD FAUDZI,DG10,Belum bermula,Akan dilaksanakan pada 23-26 feb 2026,9000,,,19605,28605,,,,,,,
SPHEMK,Unit Kokurikulum,Penilaian,MAKmur,A4. Penilaian Model Sekolah Projek Memperkasa Amalan Kemenjadian Murid (MAKMur) Tahun 2025,36,04/05/2025,23/05/2025,Pn. Nordiana binti Khalid,DG12,Selesai,,32000,0,0,0,32000,32000,0,0,0,32000,,
SPHEMK,Unit Kokurikulum,Bengkel/Kerja,MAKmur,A6. Bengkel Kerja Analisis Data Penilaian Model Sekolah Projek MAKMur Tahun 2025,20,03/06/2025,06/06/2025,Pn. Nordiana binti Khalid,DG12,Selesai,,5174.8,0,0,14070,19244.8,5174.8,0,0,14070,19244.8,,
SPHEMK,Unit Hal Ehwal Murid,Pemantauan,DSA(JN),"D3. Pemantauan Pemeriksaan Kantin, Koperasi dan Dapur Asrama Sekolah (PKKDAS) Tahun 2025",2,04/05/2025,23/05/2025,En. Abdul Rahim bin Abdullah,DG10,Selesai,,1765,0,0,0,1765,1765,0,0,0,1765,,
SPHEMK,Unit Hal Ehwal Murid,Bengkel/Kerja,DSA(JN),D5. Bengkel Kerja Penulisan Laporan PKKDAS Tahun 2025,25,27/05/2025,30/05/2025,En. Abdul Rahim bin Abdullah,DG10,Selesai,,26320,0,0,3000,29320,26320,0,0,3000,29320,,
SPHEMK,Unit Pemantapan Institusi Pendidikan,Bengkel/Kerja,DSA(JN),E1. Bengkel Kerja Peningkatan Profesional Pegawai Siasatan Aduan,20,28/04/2025,30/04/2025,En. Yusoff bin Yahaya,DG12,Selesai,,23000,0,0,0,23000,21966,0,0,0,21966,,
SPHEMK,Unit Pemantapan Institusi Pendidikan,Pemeriksaan,DSA(JN),E2. Pelaksanaan Siasatan Aduan 2025,400,01/01/2025,31/12/2025,En. Yusoff bin Yahaya,DG12,Dalam tindakan,,27000,0,0,0,27000,18124.38,0,0,0,18124.38,,
SSJK,Unit Jaminan Kualiti,Pemeriksaan,DSA(JN),Bengkel Kerja Rumusan Laporan Audit Dalaman Jemaah Nazir,11,18/06/2025,20/06/2025,Dr. Nor Lizana binti Kamaruzaman,DG12,Selesai,,,0,0,12665.5,12665.5,0,0,0,12883.6,12883.6,,
SPKN,Unit Latihan Kompetensi Berterusan,Bengkel,PLAN (BPK),Kursus Penyediaan Bahan Pembentangan Menggunakan Kecedasan Buatan,,13/05/2025,15/05/2025,Pn. Faridahanum binti Ahmad,DG12,Belum bermula,Dalam perancangan dan tindakan,0,0,0,0,0,0,0,0,0,0,,
SPKN,Unit Latihan Kompetensi Berterusan,Bengkel,LDP (BPG),Bengkel Kerja Penyediaan Dokumen Kurikulum Latihan Nazir Sekolah Fasa 2,10,10/06/2025,12/06/2025,Pn. Faridahanum binti Ahmad,DG12,Dalam tindakan,Peringkat Sektor SPKN,0,0,0,0,0,0,0,0,0,0,,
SPKN,Unit Latihan Kompetensi Berterusan,Kursus,LDP (BPG),Bengkel Penggunaan Aplikasi AI dalam Pelaporan Jemaah Nazir,20,09/09/2025,11/09/2025,Pn. Faridahanum binti Ahmad,DG12,Belum bermula,Dalam perancangan dan tindakan,0,0,0,0,0,0,0,0,0,0,,
SDTM,Unit Teknologi Maklumat,Acara/Majlis,DSA (JN),Innovation in Inspectorate Solutions Competition (IISC) 2025,,,,Pn. Siti Suhana binti Abdullah,DG12,Dibatalkan,Tiada peruntukan kewangan,0,0,0,1750,1750,0,0,0,0,0,,
SDP,,Bengkel Kerja,DSA(JN),Bengkel Kerja Perancangan Strategik Jemaah Nazir Tahun 2026-2030,40,19/03/2025,21/03/2025,Pn. Azidah binti Abdul Aziz,DG13,Selesai,,20000,0,0,1750,21750,946,0,0,15120,16066,,
SDP,Unit Perancangan,Tinjauan,DSA(JN),Tinjauan Sekolah Vertikal Tahun 2025,18,26/05/2025,28/05/2025,Encik Nadimin bin Abdul Aziz,DG13,Selesai,Peruntukan daripada Program PEMANDU,18000,0,0,1750,19750,13381.58,0,0,0,13381.58,,
